ID;Year_Birth;Education;Marital_Status;Income;Kidhome;Teenhome;Dt_Customer;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Complain;Response;Age;Age_Group;NumOffSprings
8180;1952;Master;Divorced;59354.0;1;1;2013-11-15;53.0;233.0;2.0;53.0;3.0;5.0;14.0;3.0;6.0;1.0;5.0;6.0;0;0;0;0;0;0;0;68;60-69;2
2569;1987;Graduation;Married;17323.0;0;0;2012-10-10;38.0;3.0;14.0;17.0;6.0;1.0;5.0;1.0;1.0;0.0;3.0;8.0;0;0;0;0;0;0;0;33;30-39;0
2114;1946;PhD;Single;82800.0;0;0;2012-11-24;23.0;;22.0;115.0;59.0;68.0;45.0;1.0;7.0;6.0;12.0;3.0;0;0;1;1;0;0;1;74;>69;0
9736;1980;Graduation;Married;41850.0;1;1;2012-12-24;51.0;53.0;5.0;19.0;2.0;13.0;4.0;3.0;3.0;0.0;3.0;8.0;0;0;0;0;0;0;0;40;40-59;2
4939;1946;Graduation;Together;37760.0;0;0;2012-08-31;20.0;84.0;5.0;38.0;;12.0;28.0;2.0;4.0;1.0;6.0;7.0;0;0;0;0;0;0;0;74;>69;0
6565;1949;Master;Married;76995.0;0;1;2013-03-28;91.0;;80.0;498.0;0.0;16.0;;2.0;;4.0;9.0;5.0;0;0;0;1;0;0;0;71;>69;1
2278;1985;2n Cycle;Single;33812.0;1;0;2012-11-03;86.0;4.0;17.0;19.0;30.0;24.0;39.0;2.0;2.0;1.0;3.0;6.0;0;0;0;0;0;0;0;35;30-39;1
9360;1982;Graduation;Married;37040.0;0;0;2012-08-08;41.0;86.0;2.0;73.0;69.0;38.0;48.0;1.0;4.0;2.0;5.0;8.0;0;0;0;0;0;0;0;38;30-39;0
5376;1979;Graduation;Married;2447.0;1;0;2013-01-06;42.0;1.0;1.0;;1.0;1.0;1.0;;0.0;;0.0;1.0;0;0;0;0;0;0;0;41;40-59;1
1993;1949;PhD;Married;58607.0;0;1;2012-12-23;63.0;867.0;0.0;86.0;0.0;0.0;19.0;3.0;2.0;3.0;9.0;8.0;0;1;0;0;0;0;0;71;>69;1
4047;1954;PhD;Married;65324.0;0;1;2014-01-11;0.0;384.0;0.0;102.0;21.0;32.0;5.0;3.0;6.0;2.0;9.0;4.0;0;0;0;0;0;0;0;66;60-69;1
1409;1951;Graduation;Together;40689.0;0;1;2013-03-18;69.0;270.0;3.0;27.0;39.0;6.0;99.0;;7.0;1.0;5.0;8.0;0;0;0;0;0;0;0;69;>69;1
7892;1969;Graduation;Single;18589.0;0;0;2013-01-02;89.0;6.0;4.0;25.0;15.0;12.0;13.0;2.0;2.0;1.0;3.0;7.0;0;0;0;0;0;0;0;51;50-59;0
2404;1976;Graduation;Married;53359.0;1;1;2013-05-27;4.0;173.0;4.0;30.0;3.0;6.0;41.0;4.0;5.0;1.0;4.0;7.0;0;0;0;0;0;0;0;44;40-59;2
9422;1989;Graduation;Married;38360.0;1;0;2013-05-31;26.0;36.0;2.0;42.0;20.0;21.0;10.0;2.0;2.0;1.0;4.0;3.0;0;0;0;0;0;0;0;31;30-39;1
1966;1965;PhD;Married;84618.0;0;0;2013-11-22;96.0;684.0;100.0;;21.0;66.0;0.0;1.0;6.0;;10.0;2.0;0;0;1;0;0;0;0;55;50-59;0
6864;1989;Master;Divorced;10979.0;0;0;2014-05-22;34.0;8.0;4.0;10.0;2.0;2.0;4.0;2.0;3.0;0.0;3.0;5.0;0;0;0;0;0;0;0;31;30-39;0
3033;1963;Master;Together;38620.0;0;0;2013-05-11;56.0;112.0;17.0;44.0;34.0;22.0;89.0;1.0;2.0;5.0;3.0;3.0;0;0;0;0;0;0;0;57;50-59;0
5710;1970;Graduation;Together;40548.0;0;1;2012-10-10;31.0;110.0;0.0;5.0;2.0;0.0;3.0;2.0;2.0;1.0;4.0;5.0;0;1;0;0;0;0;0;50;50-59;1
7373;1952;PhD;Divorced;46610.0;0;2;2012-10-29;8.0;96.0;12.0;96.0;33.0;22.0;43.0;6.0;4.0;1.0;6.0;6.0;0;0;0;0;0;0;1;68;60-69;2
8755;1946;Master;Married;68657.0;0;0;2013-02-20;4.0;482.0;34.0;471.0;119.0;68.0;22.0;1.0;3.0;5.0;9.0;7.0;0;0;0;0;0;0;0;74;>69;0
10738;1951;Master;Single;49389.0;1;1;2013-08-29;55.0;40.0;0.0;19.0;2.0;1.0;3.0;1.0;2.0;0.0;3.0;7.0;0;0;0;0;0;0;0;69;>69;2
4339;1970;PhD;Married;67353.0;0;1;2013-12-31;37.0;702.0;17.0;151.0;0.0;8.0;35.0;5.0;5.0;6.0;12.0;2.0;0;0;0;0;0;0;0;50;50-59;1
10755;1976;2n Cycle;Married;23718.0;1;0;2013-09-02;76.0;6.0;3.0;14.0;15.0;7.0;36.0;3.0;3.0;1.0;2.0;7.0;0;0;0;0;0;0;0;44;40-59;1
8595;1973;Graduation;Widow;42429.0;0;1;2014-02-11;99.0;55.0;0.0;6.0;2.0;0.0;4.0;2.0;1.0;1.0;3.0;5.0;0;0;0;0;0;0;0;47;40-59;1
2968;1943;PhD;Divorced;48948.0;0;0;2013-02-01;53.0;437.0;8.0;206.0;;49.0;42.0;2.0;7.0;;5.0;6.0;1;0;0;0;0;0;1;77;>69;0
8601;1980;Graduation;Married;80011.0;0;1;2013-04-29;3.0;421.0;76.0;536.0;82.0;;102.0;2.0;8.0;6.0;5.0;4.0;0;0;0;0;0;0;0;40;40-59;1
503;1985;Master;Married;20559.0;1;0;2013-03-12;88.0;13.0;1.0;29.0;3.0;0.0;7.0;2.0;2.0;0.0;3.0;8.0;0;0;0;0;0;0;0;35;30-39;1
8430;1957;Graduation;Together;21994.0;0;1;2012-12-24;4.0;9.0;0.0;6.0;3.0;1.0;3.0;1.0;0.0;0.0;3.0;5.0;0;0;0;0;0;0;0;63;60-69;1
2139;1975;Master;Married;7500.0;1;0;2013-10-02;19.0;3.0;1.0;10.0;3.0;2.0;12.0;3.0;2.0;0.0;3.0;5.0;0;0;0;0;0;0;0;45;40-59;1
1371;1976;Graduation;Single;79941.0;0;0;2014-06-28;72.0;123.0;;266.0;;30.0;;1.0;2.0;4.0;9.0;1.0;0;0;0;0;0;0;0;44;40-59;0
9909;1996;2n Cycle;Married;7500.0;0;0;2012-11-09;24.0;3.0;18.0;14.0;15.0;22.0;50.0;3.0;3.0;1.0;3.0;9.0;0;0;0;0;0;0;1;24;20-29;0
7286;1968;Graduation;Together;41728.0;1;0;2013-05-24;92.0;13.0;6.0;15.0;3.0;5.0;13.0;1.0;2.0;0.0;2.0;10.0;0;0;0;0;0;0;0;52;50-59;1
6566;1954;PhD;Married;72550.0;1;1;2012-11-08;39.0;826.0;50.0;317.0;50.0;38.0;38.0;;5.0;2.0;12.0;8.0;0;0;0;0;0;0;0;66;60-69;2
8614;1957;Graduation;Widow;65486.0;0;1;2014-05-12;29.0;245.0;19.0;125.0;37.0;67.0;14.0;1.0;4.0;2.0;10.0;2.0;0;0;0;0;0;0;0;63;60-69;1
4114;1964;Master;Married;79143.0;0;0;2012-08-11;2.0;650.0;37.0;;27.0;;32.0;1.0;6.0;;;3.0;0;0;0;0;0;0;0;56;50-59;0
1331;1977;Graduation;Single;35790.0;1;0;2013-01-02;54.0;12.0;6.0;20.0;30.0;1.0;3.0;2.0;2.0;0.0;3.0;7.0;0;0;0;0;0;0;0;43;40-59;1
2225;1977;Graduation;Divorced;82582.0;0;0;2014-06-07;54.0;510.0;;550.0;;40.0;;1.0;4.0;;7.0;1.0;1;0;0;1;0;0;1;43;40-59;0
9381;1978;Graduation;Married;66373.0;1;1;2013-06-12;57.0;328.0;9.0;124.0;12.0;24.0;109.0;;4.0;2.0;10.0;3.0;0;0;0;0;0;0;0;42;40-59;2
6260;1955;Master;Together;82384.0;0;0;2012-11-19;55.0;;51.0;432.0;;;;1.0;3.0;;;1.0;0;0;1;0;0;0;1;65;60-69;0
10383;1966;Graduation;Divorced;70287.0;0;0;2013-04-02;30.0;295.0;35.0;482.0;121.0;;40.0;1.0;5.0;5.0;10.0;3.0;0;0;0;0;0;0;1;54;50-59;0
7437;1988;Graduation;Single;27938.0;1;0;2014-04-28;31.0;13.0;0.0;8.0;2.0;1.0;5.0;1.0;1.0;0.0;4.0;3.0;0;0;0;0;0;0;0;32;30-39;1
8375;1968;PhD;Married;55954.0;0;1;2014-03-03;63.0;447.0;0.0;28.0;0.0;0.0;43.0;3.0;8.0;2.0;6.0;7.0;0;0;0;0;0;0;0;52;50-59;1
6853;1982;Master;Single;75777.0;0;0;2013-07-04;12.0;712.0;26.0;538.0;69.0;13.0;80.0;1.0;3.0;6.0;11.0;1.0;0;1;1;0;0;0;1;38;30-39;0
3076;1975;Graduation;Together;66653.0;1;1;2012-09-07;18.0;452.0;18.0;102.0;16.0;18.0;6.0;4.0;4.0;2.0;12.0;3.0;0;0;0;0;0;0;0;45;40-59;2
1012;1952;Graduation;Single;61823.0;0;1;2013-02-18;26.0;523.0;7.0;134.0;37.0;14.0;;4.0;8.0;2.0;10.0;7.0;0;0;0;0;0;0;0;68;60-69;1
6518;1951;PhD;Widow;67680.0;0;1;2013-06-11;8.0;546.0;0.0;48.0;0.0;6.0;6.0;1.0;7.0;3.0;8.0;5.0;0;0;0;0;0;0;0;69;>69;1
4137;1948;Graduation;Together;70666.0;0;0;2013-12-06;29.0;398.0;40.0;367.0;119.0;;30.0;1.0;7.0;4.0;4.0;4.0;0;0;0;0;0;0;0;72;>69;0
8082;1971;Graduation;Married;25721.0;1;0;2013-05-21;75.0;1.0;3.0;6.0;3.0;6.0;15.0;1.0;1.0;1.0;2.0;7.0;0;0;0;0;0;0;1;49;>69;1
1386;1967;Graduation;Together;32474.0;1;1;2014-05-11;0.0;10.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;7.0;0;0;0;0;0;0;0;53;50-59;2
9369;1979;2n Cycle;Single;88194.0;0;1;2014-03-19;19.0;688.0;14.0;309.0;;24.0;38.0;1.0;;;10.0;5.0;1;0;0;1;0;0;1;41;40-59;1
4477;1958;Graduation;Together;69096.0;0;1;2013-09-27;4.0;247.0;49.0;159.0;7.0;82.0;109.0;1.0;5.0;2.0;10.0;4.0;0;0;0;0;0;0;0;62;60-69;1
1357;1970;Graduation;Together;74854.0;1;2;2013-04-08;90.0;856.0;59.0;487.0;58.0;29.0;73.0;;2.0;5.0;5.0;5.0;0;0;0;0;0;0;0;50;50-59;3
1402;1954;Master;Married;66991.0;0;0;2012-09-11;1.0;496.0;36.0;460.0;;60.0;12.0;3.0;4.0;8.0;6.0;3.0;0;0;0;0;0;0;0;66;60-69;0
6312;1959;Graduation;Married;65031.0;0;1;2013-03-17;29.0;258.0;;291.0;84.0;37.0;86.0;4.0;;3.0;;7.0;0;0;0;0;0;0;0;61;60-69;1
8132;1975;PhD;Married;60631.0;1;1;2013-04-05;88.0;565.0;6.0;65.0;0.0;6.0;19.0;5.0;9.0;2.0;8.0;7.0;0;1;0;0;0;0;0;45;40-59;2
1050;1952;Graduation;Married;28332.0;0;0;2014-04-30;58.0;14.0;10.0;13.0;4.0;15.0;9.0;1.0;2.0;1.0;4.0;2.0;0;0;0;0;0;0;0;68;60-69;0
5846;1977;Graduation;Divorced;40246.0;1;0;2012-12-19;68.0;2.0;1.0;6.0;2.0;1.0;1.0;1.0;1.0;0.0;2.0;6.0;0;0;0;0;0;0;0;43;40-59;1
1859;1972;Master;Married;75251.0;0;0;2012-08-27;34.0;721.0;;;97.0;18.0;18.0;1.0;7.0;6.0;5.0;5.0;0;0;0;0;0;0;1;48;40-59;0
7503;1976;Graduation;Single;75825.0;0;0;2012-10-12;40.0;;105.0;;137.0;105.0;51.0;0.0;5.0;8.0;9.0;4.0;1;0;0;0;0;0;1;44;40-59;0
10401;1976;2n Cycle;Together;26326.0;0;0;2013-09-04;12.0;1.0;0.0;5.0;0.0;3.0;9.0;1.0;0.0;0.0;3.0;3.0;0;0;0;0;0;1;0;44;40-59;0
1618;1965;Graduation;Together;56046.0;0;0;2013-01-02;9.0;577.0;0.0;64.0;0.0;0.0;51.0;2.0;;1.0;8.0;8.0;1;0;0;0;0;0;1;55;50-59;0
3332;1985;Graduation;Single;29760.0;1;0;2012-08-29;87.0;64.0;4.0;68.0;7.0;5.0;17.0;4.0;3.0;1.0;4.0;8.0;0;0;0;0;0;0;0;35;30-39;1
2261;1969;Graduation;Married;26304.0;1;0;2013-06-23;5.0;4.0;1.0;5.0;2.0;0.0;4.0;1.0;1.0;0.0;2.0;7.0;0;0;0;0;0;0;0;51;50-59;1
5346;1973;2n Cycle;Married;23559.0;1;0;2013-07-03;87.0;25.0;5.0;19.0;7.0;0.0;23.0;3.0;3.0;0.0;3.0;7.0;0;0;0;0;0;0;0;47;40-59;1
4119;1963;Master;Together;38620.0;0;0;2013-05-11;56.0;112.0;17.0;44.0;34.0;22.0;89.0;1.0;2.0;5.0;3.0;3.0;0;0;0;0;0;0;0;57;50-59;0
535;1987;Graduation;Divorced;81361.0;0;0;2014-02-25;18.0;163.0;23.0;424.0;27.0;65.0;76.0;1.0;3.0;;;1.0;0;0;0;0;0;0;0;33;30-39;0
5268;1960;Graduation;Married;29440.0;1;1;2013-08-11;95.0;17.0;8.0;14.0;10.0;4.0;3.0;2.0;1.0;0.0;4.0;7.0;0;0;0;0;0;0;0;60;60-69;2
273;1970;Master;Married;36138.0;1;1;2013-07-16;48.0;130.0;0.0;16.0;0.0;0.0;5.0;5.0;3.0;1.0;4.0;7.0;0;1;0;0;0;0;0;50;50-59;2
4452;1957;Graduation;Single;50388.0;0;1;2014-05-28;3.0;292.0;6.0;37.0;0.0;3.0;34.0;4.0;6.0;1.0;6.0;7.0;0;1;0;1;0;0;1;63;60-69;1
8504;1973;Graduation;Married;79593.0;0;0;2014-05-12;70.0;350.0;60.0;568.0;110.0;;145.0;1.0;5.0;6.0;7.0;2.0;0;0;1;0;0;0;0;47;40-59;0
771;1967;Graduation;Together;54178.0;0;1;2014-01-21;79.0;135.0;9.0;39.0;4.0;0.0;7.0;1.0;2.0;2.0;5.0;2.0;0;0;0;0;0;0;0;53;50-59;1
11178;1972;Master;Single;42394.0;1;0;2014-03-23;69.0;15.0;2.0;10.0;0.0;1.0;4.0;1.0;1.0;0.0;3.0;7.0;0;0;0;0;0;0;0;48;40-59;1
2230;1970;PhD;Married;23626.0;1;0;2014-05-24;84.0;27.0;2.0;14.0;0.0;0.0;0.0;3.0;3.0;1.0;3.0;5.0;0;0;0;0;0;0;0;50;50-59;1
7516;1983;Graduation;Married;30096.0;1;0;2014-05-22;30.0;5.0;3.0;11.0;12.0;5.0;9.0;1.0;2.0;0.0;3.0;6.0;0;0;0;0;0;0;0;37;30-39;1
7247;1960;Graduation;Widow;47916.0;0;1;2012-11-22;72.0;505.0;0.0;26.0;0.0;0.0;75.0;5.0;7.0;4.0;6.0;6.0;0;1;0;0;0;0;0;60;60-69;1
11100;1972;Graduation;Divorced;51813.0;1;1;2013-04-11;37.0;51.0;2.0;7.0;0.0;1.0;2.0;2.0;2.0;0.0;3.0;7.0;0;0;0;0;0;0;0;48;40-59;2
4646;1951;2n Cycle;Married;78497.0;0;0;2013-12-01;44.0;207.0;26.0;447.0;75.0;0.0;;1.0;5.0;7.0;12.0;2.0;0;0;0;1;0;0;0;69;>69;0
3037;1983;PhD;Married;50150.0;0;0;2013-06-20;32.0;135.0;46.0;92.0;65.0;61.0;11.0;2.0;5.0;2.0;7.0;5.0;0;0;0;0;0;0;0;37;30-39;0
1473;1960;2n Cycle;Single;47823.0;0;1;2013-07-23;0.0;53.0;1.0;5.0;2.0;1.0;10.0;2.0;2.0;0.0;3.0;8.0;0;0;0;0;0;0;0;60;60-69;1
1016;1959;PhD;Single;34554.0;0;1;2014-03-30;43.0;41.0;1.0;6.0;2.0;0.0;5.0;2.0;2.0;0.0;3.0;6.0;0;0;0;0;0;0;0;61;60-69;1
4518;1979;Graduation;Together;85693.0;0;1;2013-04-20;59.0;386.0;;183.0;;;111.0;2.0;9.0;5.0;11.0;5.0;0;0;0;0;0;0;0;41;40-59;1
9370;1945;PhD;Married;65846.0;0;0;2013-05-17;68.0;562.0;81.0;276.0;80.0;40.0;81.0;1.0;6.0;3.0;6.0;4.0;0;0;0;0;0;0;0;75;>69;0
8908;1959;Graduation;Married;87195.0;0;0;2014-05-08;35.0;217.0;76.0;;50.0;26.0;38.0;1.0;3.0;;5.0;1.0;0;0;0;0;0;0;1;61;60-69;0
8373;1979;Basic;Together;24594.0;1;0;2013-12-10;94.0;1.0;3.0;6.0;10.0;0.0;9.0;1.0;1.0;0.0;3.0;5.0;0;0;0;0;0;0;0;41;40-59;1
7533;1964;Graduation;Married;49096.0;1;1;2013-09-24;15.0;144.0;1.0;32.0;2.0;1.0;7.0;4.0;4.0;1.0;4.0;7.0;0;0;0;0;0;0;0;56;50-59;2
2683;1969;Graduation;Married;52413.0;0;2;2013-02-02;56.0;295.0;;271.0;75.0;98.0;65.0;4.0;6.0;4.0;12.0;6.0;0;0;0;0;0;0;0;51;50-59;2
3629;1978;Graduation;Single;38557.0;1;0;2012-12-19;17.0;76.0;3.0;31.0;4.0;4.0;27.0;2.0;3.0;1.0;3.0;7.0;0;0;0;0;0;0;0;42;40-59;1
10991;1960;Master;Married;89058.0;0;0;2012-12-07;18.0;454.0;;106.0;31.0;22.0;43.0;1.0;5.0;4.0;4.0;2.0;0;0;0;0;0;0;0;60;60-69;0
5077;1979;Graduation;Together;77298.0;0;1;2013-11-02;46.0;425.0;;292.0;23.0;35.0;79.0;1.0;6.0;6.0;11.0;3.0;0;0;0;0;0;0;0;41;40-59;1
7431;1991;PhD;Single;68126.0;0;0;2012-11-10;40.0;;17.0;311.0;23.0;51.0;86.0;1.0;7.0;4.0;5.0;9.0;0;1;0;0;0;0;1;29;20-29;0
3267;1963;Master;Together;57288.0;0;1;2014-06-25;27.0;527.0;0.0;21.0;0.0;0.0;60.0;3.0;8.0;1.0;8.0;6.0;0;1;0;0;0;0;0;57;50-59;1
999;1991;Graduation;Single;86037.0;0;0;2013-01-02;95.0;490.0;44.0;125.0;29.0;20.0;22.0;1.0;6.0;7.0;11.0;3.0;0;1;1;0;0;0;1;29;20-29;0
9215;1980;PhD;Married;43974.0;1;0;2012-12-12;19.0;378.0;0.0;101.0;0.0;0.0;72.0;5.0;6.0;4.0;6.0;7.0;0;0;0;0;0;0;0;40;40-59;1
2286;1962;Graduation;Single;50785.0;1;1;2013-09-10;27.0;64.0;1.0;21.0;0.0;1.0;27.0;2.0;2.0;1.0;3.0;6.0;0;0;0;0;0;0;0;58;50-59;2
1592;1970;Graduation;Married;90765.0;0;0;2014-01-24;25.0;547.0;99.0;;;82.0;33.0;0.0;4.0;6.0;5.0;1.0;0;0;1;1;0;0;0;50;50-59;0
367;1978;2n Cycle;Married;36550.0;1;0;2013-02-19;74.0;47.0;90.0;94.0;123.0;103.0;120.0;5.0;9.0;1.0;5.0;9.0;0;0;0;0;0;0;0;42;40-59;1
5234;1967;2n Cycle;Together;30753.0;1;1;2013-07-11;85.0;12.0;5.0;25.0;0.0;9.0;30.0;2.0;1.0;1.0;3.0;5.0;0;0;0;0;0;0;0;53;50-59;2
9862;1969;Graduation;Together;21918.0;1;0;2013-11-14;37.0;1.0;6.0;7.0;11.0;5.0;3.0;2.0;2.0;0.0;3.0;6.0;0;0;0;0;0;0;0;51;50-59;1
9805;1953;Master;Together;56129.0;0;1;2013-06-20;65.0;320.0;48.0;133.0;39.0;72.0;48.0;4.0;6.0;2.0;10.0;4.0;0;0;0;0;0;0;0;67;60-69;1
6205;1967;Master;Single;32557.0;1;0;2014-02-24;13.0;34.0;3.0;29.0;0.0;4.0;10.0;3.0;2.0;1.0;3.0;5.0;0;0;0;0;0;0;1;53;50-59;1
8442;1985;Master;Married;19510.0;2;0;2013-09-04;63.0;9.0;0.0;7.0;3.0;4.0;7.0;2.0;1.0;0.0;3.0;7.0;0;0;0;0;0;0;0;35;30-39;2
7386;1976;Graduation;Divorced;30992.0;1;0;2013-04-22;83.0;17.0;0.0;14.0;7.0;3.0;2.0;1.0;1.0;0.0;3.0;7.0;0;0;0;0;0;0;0;44;40-59;1
7215;1983;Graduation;Single;101970.0;0;0;2013-03-12;69.0;722.0;27.0;102.0;44.0;72.0;;0.0;6.0;8.0;;2.0;0;1;1;1;0;0;1;37;30-39;0
1491;1965;2n Cycle;Together;71488.0;0;0;2013-02-18;87.0;162.0;33.0;124.0;40.0;28.0;;2.0;3.0;4.0;7.0;1.0;0;0;0;0;0;0;0;55;50-59;0
11071;1984;Graduation;Single;79607.0;0;0;2013-04-21;37.0;450.0;;;;0.0;;1.0;3.0;6.0;6.0;1.0;0;0;0;0;0;0;1;36;30-39;0
3381;1953;Master;Married;54348.0;1;1;2014-06-08;51.0;70.0;0.0;16.0;0.0;0.0;4.0;2.0;2.0;0.0;4.0;6.0;0;0;0;0;0;0;0;67;60-69;2
11051;1956;PhD;Together;77376.0;1;1;2014-05-10;72.0;492.0;19.0;110.0;16.0;12.0;12.0;4.0;6.0;3.0;10.0;4.0;0;0;0;0;0;0;0;64;60-69;2
8026;1952;Graduation;Married;62998.0;0;1;2013-09-30;10.0;120.0;58.0;73.0;65.0;89.0;58.0;5.0;5.0;4.0;5.0;5.0;0;0;0;0;0;0;0;68;60-69;1
433;1958;Master;Alone;61331.0;1;1;2013-03-10;42.0;534.0;5.0;47.0;0.0;5.0;41.0;5.0;;1.0;6.0;8.0;0;0;0;0;0;0;0;62;60-69;2
9597;1969;Graduation;Married;73448.0;0;0;2014-02-10;10.0;236.0;;189.0;23.0;41.0;130.0;1.0;7.0;2.0;9.0;4.0;0;0;0;0;0;0;0;51;50-59;0
5290;1964;PhD;Married;41551.0;1;1;2013-08-14;51.0;220.0;0.0;33.0;3.0;0.0;23.0;5.0;5.0;1.0;5.0;8.0;0;0;0;0;0;0;0;56;50-59;2
1685;1967;PhD;Together;62981.0;0;0;2013-03-17;21.0;796.0;14.0;590.0;38.0;44.0;0.0;1.0;4.0;5.0;;3.0;0;1;0;0;0;0;0;53;50-59;0
5342;1976;Basic;Divorced;9548.0;1;0;2012-08-08;31.0;0.0;1.0;3.0;10.0;6.0;9.0;2.0;1.0;0.0;3.0;8.0;0;0;0;0;0;0;0;44;40-59;1
9579;1959;PhD;Married;33762.0;2;1;2013-07-07;61.0;53.0;1.0;34.0;2.0;0.0;16.0;3.0;2.0;2.0;2.0;8.0;0;0;0;0;0;0;0;61;60-69;3
7660;1973;PhD;Alone;35860.0;1;1;2014-05-19;37.0;15.0;0.0;8.0;4.0;2.0;20.0;2.0;1.0;1.0;2.0;5.0;1;0;0;0;0;0;1;47;40-59;2
1461;1965;PhD;Divorced;36921.0;1;1;2013-07-28;74.0;17.0;1.0;12.0;3.0;1.0;4.0;2.0;2.0;0.0;3.0;7.0;0;0;0;0;0;0;0;55;50-59;2
821;1992;Master;Single;92859.0;0;0;2012-10-19;46.0;962.0;61.0;;52.0;61.0;20.0;1.0;5.0;4.0;12.0;2.0;0;0;0;0;0;0;0;28;20-29;0
11084;1976;Master;Together;65104.0;0;1;2013-11-14;4.0;738.0;0.0;232.0;13.0;20.0;50.0;2.0;3.0;5.0;7.0;7.0;0;0;0;0;0;0;1;44;40-59;1
8690;1962;Graduation;Married;86111.0;0;0;2013-04-19;73.0;399.0;28.0;;36.0;40.0;126.0;1.0;5.0;7.0;10.0;2.0;0;0;0;0;0;0;0;58;50-59;0
2937;1974;PhD;Single;68352.0;0;1;2013-08-28;47.0;614.0;16.0;132.0;43.0;33.0;33.0;3.0;8.0;5.0;9.0;6.0;0;0;0;0;0;0;0;46;40-59;1
9701;1988;Graduation;Together;41883.0;1;0;2013-03-19;13.0;32.0;34.0;41.0;73.0;16.0;116.0;3.0;4.0;2.0;3.0;7.0;0;0;0;0;0;0;0;32;30-39;1
9949;1976;Graduation;Married;59809.0;0;2;2012-10-18;36.0;598.0;16.0;141.0;32.0;41.0;49.0;3.0;3.0;3.0;6.0;8.0;0;0;0;0;0;0;0;44;40-59;2
10837;1975;Graduation;Married;23957.0;1;0;2012-10-28;47.0;2.0;1.0;18.0;20.0;11.0;16.0;1.0;2.0;0.0;3.0;6.0;0;0;0;0;0;0;1;45;40-59;1
3120;1981;Graduation;Together;38547.0;1;0;2013-08-28;49.0;6.0;1.0;10.0;0.0;1.0;4.0;1.0;1.0;0.0;2.0;8.0;0;0;0;0;0;1;0;39;>69;1
5885;1973;2n Cycle;Married;35688.0;2;1;2012-08-22;94.0;73.0;3.0;90.0;12.0;1.0;32.0;;4.0;1.0;4.0;8.0;0;0;0;0;0;0;0;47;40-59;3
