ID;Recency;Frequency;Monetary;R;F;M;RFM_Concat;RFM_Score;RFM_Segment
7286;92.0;5.0;55.0;1;1;2;112;2.5;Hibernando
8614;29.0;17.0;507.0;4;4;4;444;8.0;Campeões
1331;54.0;7.0;72.0;3;2;2;322;5.0;Potencialmente fiéis
7437;31.0;6.0;29.0;4;1;1;411;5.0;Potencialmente fiéis
8375;63.0;19.0;518.0;2;5;4;254;6.5;Fiéis
6853;12.0;21.0;1438.0;5;5;5;555;10.0;Campeões
3076;18.0;22.0;612.0;5;5;5;555;10.0;Campeões
6518;8.0;19.0;606.0;5;5;5;555;10.0;Campeões
8082;75.0;5.0;34.0;2;1;1;211;3.0;Quase em risco
1386;0.0;4.0;11.0;5;1;1;511;6.0;Potencialmente fiéis
4477;4.0;18.0;653.0;5;4;5;545;9.5;Campeões
8132;88.0;24.0;661.0;1;5;5;155;6.0;Em Risco
1050;58.0;8.0;65.0;3;2;2;322;5.0;Potencialmente fiéis
5846;68.0;4.0;13.0;2;1;1;211;3.0;Quase em risco
10401;12.0;4.0;18.0;5;1;1;511;6.0;Potencialmente fiéis
3332;87.0;12.0;165.0;1;3;3;133;4.0;Em Risco
2261;5.0;4.0;16.0;5;1;1;511;6.0;Potencialmente fiéis
5346;87.0;9.0;79.0;1;3;3;133;4.0;Em Risco
4119;56.0;11.0;318.0;3;3;4;334;6.5;Fiéis
5268;95.0;7.0;56.0;1;2;2;122;3.0;Em Risco
273;48.0;13.0;151.0;3;4;3;343;6.5;Fiéis
4452;3.0;17.0;372.0;5;4;4;544;9.0;Campeões
771;79.0;10.0;194.0;2;3;3;233;5.0;Fiéis
11178;69.0;5.0;32.0;2;1;1;211;3.0;Quase em risco
2230;84.0;10.0;43.0;1;3;1;131;3.0;Perdidos
7516;30.0;6.0;45.0;4;1;2;412;5.5;Potencialmente fiéis
7247;72.0;22.0;606.0;2;5;5;255;7.0;Fiéis
11100;37.0;7.0;63.0;4;2;2;422;6.0;Potencialmente fiéis
3037;32.0;16.0;410.0;4;4;4;444;8.0;Campeões
1473;0.0;7.0;72.0;5;2;2;522;7.0;Potencialmente fiéis
1016;43.0;7.0;55.0;3;2;2;322;5.0;Potencialmente fiéis
9370;68.0;16.0;1120.0;2;4;5;245;6.5;Fiéis
8373;94.0;5.0;29.0;1;1;1;111;2.0;Hibernando
7533;15.0;13.0;187.0;5;4;3;543;8.5;Fiéis
3629;17.0;9.0;145.0;5;3;3;533;8.0;Fiéis
3267;27.0;20.0;608.0;4;5;5;455;9.0;Campeões
999;95.0;25.0;730.0;1;5;5;155;6.0;Em Risco
9215;19.0;21.0;551.0;5;5;4;554;9.5;Campeões
2286;27.0;8.0;114.0;4;2;3;423;6.5;Potencialmente fiéis
367;74.0;20.0;577.0;2;5;5;255;7.0;Fiéis
5234;85.0;7.0;81.0;1;2;3;123;3.5;Em Risco
9862;37.0;7.0;33.0;4;2;1;421;5.5;Potencialmente fiéis
9805;65.0;22.0;660.0;2;5;5;255;7.0;Fiéis
6205;13.0;9.0;80.0;5;3;3;533;8.0;Fiéis
8442;63.0;6.0;30.0;2;1;1;211;3.0;Quase em risco
7386;83.0;5.0;43.0;1;1;1;111;2.0;Hibernando
3381;51.0;8.0;90.0;3;2;3;323;5.5;Potencialmente fiéis
11051;72.0;23.0;661.0;2;5;5;255;7.0;Fiéis
8026;10.0;19.0;463.0;5;5;4;554;9.5;Campeões
5290;51.0;16.0;279.0;3;4;4;344;7.0;Fiéis
5342;31.0;6.0;29.0;4;1;1;411;5.0;Potencialmente fiéis
9579;61.0;9.0;106.0;2;3;3;233;5.0;Fiéis
7660;37.0;6.0;49.0;4;1;2;412;5.5;Potencialmente fiéis
1461;74.0;7.0;38.0;2;2;1;221;3.5;Quase em risco
11084;4.0;17.0;1053.0;5;4;5;545;9.5;Campeões
2937;47.0;25.0;871.0;3;5;5;355;8.0;Fiéis
9701;13.0;12.0;312.0;5;3;4;534;8.5;Fiéis
9949;36.0;15.0;877.0;4;4;5;445;8.5;Campeões
10837;47.0;6.0;68.0;3;1;2;312;4.5;Potencialmente fiéis
3120;49.0;4.0;22.0;3;1;1;311;4.0;Potencialmente fiéis
4050;65.0;8.0;127.0;2;2;3;223;4.5;Precisam de atenção
3830;59.0;16.0;459.0;2;4;4;244;6.0;Fiéis
7987;96.0;19.0;460.0;1;5;4;154;5.5;Em Risco
7798;28.0;17.0;429.0;4;4;4;444;8.0;Campeões
92;12.0;11.0;89.0;5;3;3;533;8.0;Fiéis
7055;57.0;26.0;1021.0;3;5;5;355;8.0;Fiéis
3025;4.0;15.0;306.0;5;4;4;544;9.0;Campeões
9283;49.0;4.0;18.0;3;1;1;311;4.0;Potencialmente fiéis
9970;3.0;9.0;162.0;5;3;3;533;8.0;Fiéis
2795;0.0;4.0;13.0;5;1;1;511;6.0;Potencialmente fiéis
8182;91.0;11.0;121.0;1;3;3;133;4.0;Em Risco
4370;83.0;9.0;88.0;1;3;3;133;4.0;Em Risco
10573;27.0;18.0;421.0;4;4;4;444;8.0;Campeões
3712;63.0;12.0;259.0;2;3;4;234;5.5;Fiéis
3152;84.0;9.0;89.0;1;3;3;133;4.0;Em Risco
5610;58.0;6.0;36.0;3;1;1;311;4.0;Potencialmente fiéis
6460;78.0;7.0;57.0;2;2;2;222;4.0;Precisam de atenção
1349;4.0;8.0;148.0;5;2;3;523;7.5;Potencialmente fiéis
1880;17.0;8.0;93.0;5;2;3;523;7.5;Potencialmente fiéis
641;77.0;7.0;119.0;2;2;3;223;4.5;Precisam de atenção
10854;90.0;7.0;45.0;1;2;2;122;3.0;Em Risco
10492;96.0;4.0;10.0;1;1;1;111;2.0;Hibernando
7698;81.0;10.0;191.0;1;3;3;133;4.0;Em Risco
3559;77.0;9.0;57.0;2;3;2;232;4.5;Precisam de atenção
10796;16.0;6.0;66.0;5;1;2;512;6.5;Potencialmente fiéis
2563;80.0;6.0;43.0;1;1;1;111;2.0;Hibernando
3518;45.0;5.0;50.0;3;1;2;312;4.5;Potencialmente fiéis
5823;63.0;7.0;39.0;2;2;1;221;3.5;Quase em risco
3934;34.0;18.0;608.0;4;4;5;445;8.5;Campeões
6431;13.0;7.0;68.0;5;2;2;522;7.0;Potencialmente fiéis
9733;52.0;5.0;80.0;3;1;3;313;5.0;Potencialmente fiéis
1324;93.0;8.0;91.0;1;2;3;123;3.5;Em Risco
326;38.0;16.0;315.0;4;4;4;444;8.0;Campeões
7224;24.0;6.0;31.0;4;1;1;411;5.0;Potencialmente fiéis
6999;80.0;23.0;834.0;1;5;5;155;6.0;Em Risco
3182;81.0;15.0;263.0;1;4;4;144;5.0;Em Risco
7300;50.0;19.0;535.0;3;5;4;354;7.5;Fiéis
1030;72.0;6.0;38.0;2;1;1;211;3.0;Quase em risco
624;5.0;4.0;35.0;5;1;1;511;6.0;Potencialmente fiéis
5176;88.0;5.0;53.0;1;1;2;112;2.5;Hibernando
5552;50.0;17.0;293.0;3;4;4;344;7.0;Fiéis
868;99.0;6.0;65.0;1;1;2;112;2.5;Hibernando
2677;11.0;15.0;241.0;5;4;4;544;9.0;Campeões
6521;18.0;20.0;1101.0;5;5;5;555;10.0;Campeões
1584;79.0;20.0;482.0;2;5;4;254;6.5;Fiéis
7264;2.0;4.0;17.0;5;1;1;511;6.0;Potencialmente fiéis
1377;24.0;12.0;285.0;4;3;4;434;7.5;Fiéis
1755;93.0;7.0;114.0;1;2;3;123;3.5;Em Risco
2075;56.0;16.0;1047.0;3;4;5;345;7.5;Fiéis
4785;3.0;22.0;714.0;5;5;5;555;10.0;Campeões
9076;44.0;13.0;185.0;3;4;3;343;6.5;Fiéis
7079;38.0;32.0;1245.0;4;5;5;455;9.0;Campeões
4653;46.0;12.0;189.0;3;3;3;333;6.0;Fiéis
709;27.0;18.0;1103.0;4;4;5;445;8.5;Campeões
3726;66.0;4.0;17.0;2;1;1;211;3.0;Quase em risco
1606;65.0;4.0;22.0;2;1;1;211;3.0;Quase em risco
9617;37.0;5.0;19.0;4;1;1;411;5.0;Potencialmente fiéis
3233;89.0;29.0;1117.0;1;5;5;155;6.0;Em Risco
89;49.0;8.0;69.0;3;2;2;322;5.0;Potencialmente fiéis
2936;46.0;5.0;23.0;3;1;1;311;4.0;Potencialmente fiéis
9449;32.0;19.0;605.0;4;5;5;455;9.0;Campeões
7297;54.0;11.0;57.0;3;3;2;332;5.5;Potencialmente fiéis
10735;75.0;5.0;26.0;2;1;1;211;3.0;Quase em risco
7411;31.0;6.0;17.0;4;1;1;411;5.0;Potencialmente fiéis
9265;74.0;21.0;1390.0;2;5;5;255;7.0;Fiéis
10236;59.0;7.0;64.0;2;2;2;222;4.0;Precisam de atenção
6340;52.0;6.0;26.0;3;1;1;311;4.0;Potencialmente fiéis
2227;92.0;11.0;210.0;1;3;3;133;4.0;Em Risco
10992;77.0;26.0;1148.0;2;5;5;255;7.0;Fiéis
5304;35.0;6.0;33.0;4;1;1;411;5.0;Potencialmente fiéis
309;48.0;19.0;1101.0;3;5;5;355;8.0;Fiéis
3406;97.0;16.0;322.0;1;4;4;144;5.0;Em Risco
2661;95.0;10.0;44.0;1;3;2;132;3.5;Em Risco
3153;24.0;4.0;17.0;4;1;1;411;5.0;Potencialmente fiéis
10264;60.0;6.0;31.0;2;1;1;211;3.0;Quase em risco
4200;85.0;15.0;275.0;1;4;4;144;5.0;Em Risco
9396;31.0;4.0;25.0;4;1;1;411;5.0;Potencialmente fiéis
2387;9.0;17.0;275.0;5;4;4;544;9.0;Campeões
6690;30.0;11.0;90.0;4;3;3;433;7.0;Fiéis
9703;70.0;11.0;184.0;2;3;3;233;5.0;Fiéis
4557;11.0;8.0;67.0;5;2;2;522;7.0;Potencialmente fiéis
2379;31.0;14.0;1635.0;4;4;5;445;8.5;Campeões
5726;15.0;10.0;60.0;5;3;2;532;7.5;Potencialmente fiéis
3066;2.0;12.0;231.0;5;3;4;534;8.5;Fiéis
6336;55.0;10.0;48.0;3;3;2;332;5.5;Potencialmente fiéis
10967;38.0;9.0;99.0;4;3;3;433;7.0;Fiéis
2304;86.0;23.0;770.0;1;5;5;155;6.0;Em Risco
4391;64.0;22.0;908.0;2;5;5;255;7.0;Fiéis
4669;46.0;10.0;102.0;3;3;3;333;6.0;Fiéis
1672;74.0;15.0;461.0;2;4;4;244;6.0;Fiéis
8962;18.0;7.0;37.0;5;2;1;521;6.5;Potencialmente fiéis
9974;75.0;7.0;70.0;2;2;2;222;4.0;Precisam de atenção
4697;62.0;16.0;390.0;2;4;4;244;6.0;Fiéis
9262;11.0;5.0;52.0;5;1;2;512;6.5;Potencialmente fiéis
7254;74.0;10.0;137.0;2;3;3;233;5.0;Fiéis
4927;76.0;9.0;68.0;2;3;2;232;4.5;Precisam de atenção
10451;6.0;4.0;25.0;5;1;1;511;6.0;Potencialmente fiéis
2874;20.0;5.0;32.0;4;1;1;411;5.0;Potencialmente fiéis
9738;43.0;7.0;100.0;3;2;3;323;5.5;Potencialmente fiéis
7119;45.0;12.0;825.0;3;3;5;335;7.0;Fiéis
3924;34.0;28.0;916.0;4;5;5;455;9.0;Campeões
5827;53.0;11.0;62.0;3;3;2;332;5.5;Potencialmente fiéis
5596;44.0;21.0;728.0;3;5;5;355;8.0;Fiéis
10812;89.0;7.0;90.0;1;2;3;123;3.5;Em Risco
1717;43.0;13.0;273.0;3;4;4;344;7.0;Fiéis
9491;68.0;10.0;66.0;2;3;2;232;4.5;Precisam de atenção
6609;64.0;7.0;107.0;2;2;3;223;4.5;Precisam de atenção
6963;85.0;18.0;1157.0;1;4;5;145;5.5;Em Risco
4440;93.0;18.0;546.0;1;4;4;144;5.0;Em Risco
1379;12.0;11.0;241.0;5;3;4;534;8.5;Fiéis
10032;86.0;11.0;53.0;1;3;2;132;3.5;Em Risco
2826;28.0;7.0;37.0;4;2;1;421;5.5;Potencialmente fiéis
6320;42.0;23.0;1508.0;3;5;5;355;8.0;Fiéis
3050;13.0;16.0;235.0;5;4;4;544;9.0;Campeões
231;86.0;7.0;32.0;1;2;1;121;2.5;Hibernando
2392;59.0;8.0;102.0;2;2;3;223;4.5;Precisam de atenção
9478;30.0;15.0;401.0;4;4;4;444;8.0;Campeões
113;33.0;6.0;28.0;4;1;1;411;5.0;Potencialmente fiéis
1802;23.0;21.0;680.0;4;5;5;455;9.0;Campeões
520;81.0;4.0;30.0;1;1;1;111;2.0;Hibernando
8275;6.0;4.0;20.0;5;1;1;511;6.0;Potencialmente fiéis
2607;78.0;24.0;630.0;2;5;5;255;7.0;Fiéis
7214;49.0;18.0;1283.0;3;4;5;345;7.5;Fiéis
5835;39.0;9.0;65.0;4;3;2;432;6.5;Potencialmente fiéis
3896;3.0;5.0;37.0;5;1;1;511;6.0;Potencialmente fiéis
10350;37.0;5.0;38.0;4;1;1;411;5.0;Potencialmente fiéis
7786;22.0;12.0;160.0;4;3;3;433;7.0;Fiéis
2861;79.0;4.0;23.0;2;1;1;211;3.0;Quase em risco
663;46.0;6.0;71.0;3;1;2;312;4.5;Potencialmente fiéis
10675;82.0;19.0;1161.0;1;5;5;155;6.0;Em Risco
2521;10.0;5.0;59.0;5;1;2;512;6.5;Potencialmente fiéis
9592;51.0;7.0;33.0;3;2;1;321;4.5;Potencialmente fiéis
4099;14.0;5.0;62.0;5;1;2;512;6.5;Potencialmente fiéis
9560;18.0;22.0;1674.0;5;5;5;555;10.0;Campeões
11191;11.0;8.0;139.0;5;2;3;523;7.5;Potencialmente fiéis
6245;71.0;18.0;507.0;2;4;4;244;6.0;Fiéis
8234;13.0;4.0;18.0;5;1;1;511;6.0;Potencialmente fiéis
8553;65.0;6.0;42.0;2;1;1;211;3.0;Quase em risco
8842;33.0;8.0;44.0;4;2;2;422;6.0;Potencialmente fiéis
11030;90.0;4.0;16.0;1;1;1;111;2.0;Hibernando
2579;95.0;26.0;835.0;1;5;5;155;6.0;Em Risco
175;93.0;22.0;1443.0;1;5;5;155;6.0;Em Risco
9185;38.0;18.0;1029.0;4;4;5;445;8.5;Campeões
11056;18.0;18.0;1188.0;5;4;5;545;9.5;Campeões
6201;45.0;7.0;49.0;3;2;2;322;5.0;Potencialmente fiéis
2061;61.0;7.0;99.0;2;2;3;223;4.5;Precisam de atenção
6142;65.0;14.0;900.0;2;4;5;245;6.5;Fiéis
4107;52.0;16.0;425.0;3;4;4;344;7.0;Fiéis
9336;38.0;21.0;636.0;4;5;5;455;9.0;Campeões
2958;53.0;10.0;57.0;3;3;2;332;5.5;Potencialmente fiéis
933;31.0;4.0;25.0;4;1;1;411;5.0;Potencialmente fiéis
10704;65.0;19.0;693.0;2;5;5;255;7.0;Fiéis
4432;82.0;7.0;51.0;1;2;2;122;3.0;Em Risco
2928;63.0;16.0;990.0;2;4;5;245;6.5;Fiéis
5680;66.0;5.0;30.0;2;1;1;211;3.0;Quase em risco
10313;69.0;16.0;254.0;2;4;4;244;6.0;Fiéis
2557;52.0;5.0;29.0;3;1;1;311;4.0;Potencialmente fiéis
1245;45.0;23.0;1371.0;3;5;5;355;8.0;Fiéis
1519;2.0;9.0;73.0;5;3;2;532;7.5;Potencialmente fiéis
10703;86.0;11.0;120.0;1;3;3;133;4.0;Em Risco
1726;23.0;5.0;81.0;4;1;3;413;6.0;Potencialmente fiéis
4459;13.0;5.0;37.0;5;1;1;511;6.0;Potencialmente fiéis
1517;92.0;5.0;51.0;1;1;2;112;2.5;Hibernando
2098;38.0;4.0;17.0;4;1;1;411;5.0;Potencialmente fiéis
9543;74.0;4.0;22.0;2;1;1;211;3.0;Quase em risco
6878;14.0;14.0;324.0;5;4;4;544;9.0;Campeões
2724;33.0;4.0;19.0;4;1;1;411;5.0;Potencialmente fiéis
948;32.0;8.0;41.0;4;2;1;421;5.5;Potencialmente fiéis
6720;11.0;17.0;492.0;5;4;4;544;9.0;Campeões
2066;56.0;7.0;114.0;3;2;3;323;5.5;Potencialmente fiéis
9799;57.0;19.0;1173.0;3;5;5;355;8.0;Fiéis
5642;0.0;12.0;222.0;5;3;3;533;8.0;Fiéis
455;86.0;10.0;209.0;1;3;3;133;4.0;Em Risco
7683;80.0;23.0;787.0;1;5;5;155;6.0;Em Risco
7414;18.0;12.0;186.0;5;3;3;533;8.0;Fiéis
6354;51.0;6.0;47.0;3;1;2;312;4.5;Potencialmente fiéis
798;71.0;5.0;27.0;2;1;1;211;3.0;Quase em risco
8213;71.0;11.0;96.0;2;3;3;233;5.0;Fiéis
2488;80.0;10.0;64.0;1;3;2;132;3.5;Em Risco
9999;2.0;23.0;1040.0;5;5;5;555;10.0;Campeões
7617;83.0;13.0;163.0;1;4;3;143;4.5;Em Risco
615;29.0;11.0;343.0;4;3;4;434;7.5;Fiéis
194;55.0;5.0;41.0;3;1;1;311;4.0;Potencialmente fiéis
3645;19.0;9.0;70.0;5;3;2;532;7.5;Potencialmente fiéis
8890;1.0;14.0;272.0;5;4;4;544;9.0;Campeões
5049;19.0;6.0;46.0;5;1;2;512;6.5;Potencialmente fiéis
9973;28.0;19.0;490.0;4;5;4;454;8.5;Campeões
7301;76.0;8.0;79.0;2;2;3;223;4.5;Precisam de atenção
7422;90.0;16.0;369.0;1;4;4;144;5.0;Em Risco
3523;83.0;19.0;1073.0;1;5;5;155;6.0;Em Risco
6504;24.0;9.0;78.0;4;3;2;432;6.5;Potencialmente fiéis
5067;11.0;21.0;1378.0;5;5;5;555;10.0;Campeões
5929;14.0;7.0;48.0;5;2;2;522;7.0;Potencialmente fiéis
3129;30.0;6.0;45.0;4;1;2;412;5.5;Potencialmente fiéis
6528;75.0;4.0;10.0;2;1;1;211;3.0;Quase em risco
7284;8.0;4.0;20.0;5;1;1;511;6.0;Potencialmente fiéis
8746;28.0;19.0;1188.0;4;5;5;455;9.0;Campeões
5987;52.0;7.0;43.0;3;2;1;321;4.5;Potencialmente fiéis
498;28.0;7.0;57.0;4;2;2;422;6.0;Potencialmente fiéis
9347;49.0;5.0;46.0;3;1;2;312;4.5;Potencialmente fiéis
9699;12.0;23.0;733.0;5;5;5;555;10.0;Campeões
10664;14.0;17.0;467.0;5;4;4;544;9.0;Campeões
5455;89.0;10.0;122.0;1;3;3;133;4.0;Em Risco
456;96.0;7.0;36.0;1;2;1;121;2.5;Hibernando
5012;56.0;5.0;34.0;3;1;1;311;4.0;Potencialmente fiéis
7495;72.0;10.0;156.0;2;3;3;233;5.0;Fiéis
5029;14.0;4.0;14.0;5;1;1;511;6.0;Potencialmente fiéis
10642;13.0;5.0;37.0;5;1;1;511;6.0;Potencialmente fiéis
2106;99.0;5.0;34.0;1;1;1;111;2.0;Hibernando
10364;72.0;4.0;20.0;2;1;1;211;3.0;Quase em risco
5954;92.0;11.0;192.0;1;3;3;133;4.0;Em Risco
2541;7.0;7.0;48.0;5;2;2;522;7.0;Potencialmente fiéis
1142;91.0;16.0;428.0;1;4;4;144;5.0;Em Risco
2276;71.0;27.0;868.0;2;5;5;255;7.0;Fiéis
6471;17.0;7.0;59.0;5;2;2;522;7.0;Potencialmente fiéis
6131;87.0;16.0;431.0;1;4;4;144;5.0;Em Risco
6233;21.0;27.0;971.0;4;5;5;455;9.0;Campeões
3225;71.0;14.0;265.0;2;4;4;244;6.0;Fiéis
7540;52.0;13.0;270.0;3;4;4;344;7.0;Fiéis
1992;2.0;16.0;893.0;5;4;5;545;9.5;Campeões
8594;25.0;9.0;135.0;4;3;3;433;7.0;Fiéis
2815;46.0;9.0;120.0;3;3;3;333;6.0;Fiéis
2416;83.0;20.0;1288.0;1;5;5;155;6.0;Em Risco
9213;13.0;4.0;15.0;5;1;1;511;6.0;Potencialmente fiéis
9697;86.0;20.0;542.0;1;5;4;154;5.5;Em Risco
3916;92.0;25.0;890.0;1;5;5;155;6.0;Em Risco
1581;18.0;4.0;17.0;5;1;1;511;6.0;Potencialmente fiéis
6619;91.0;6.0;44.0;1;1;2;112;2.5;Hibernando
9081;58.0;5.0;25.0;3;1;1;311;4.0;Potencialmente fiéis
178;40.0;26.0;973.0;3;5;5;355;8.0;Fiéis
916;67.0;6.0;31.0;2;1;1;211;3.0;Quase em risco
5512;19.0;17.0;518.0;5;4;4;544;9.0;Campeões
8970;93.0;19.0;530.0;1;5;4;154;5.5;Em Risco
5300;60.0;6.0;70.0;2;1;2;212;3.5;Quase em risco
5154;54.0;6.0;54.0;3;1;2;312;4.5;Potencialmente fiéis
8346;26.0;12.0;296.0;4;3;4;434;7.5;Fiéis
1676;30.0;15.0;266.0;4;4;4;444;8.0;Campeões
5172;4.0;17.0;1053.0;5;4;5;545;9.5;Campeões
5562;92.0;21.0;735.0;1;5;5;155;6.0;Em Risco
3436;24.0;5.0;20.0;4;1;1;411;5.0;Potencialmente fiéis
3921;96.0;10.0;205.0;1;3;3;133;4.0;Em Risco
22;99.0;14.0;309.0;1;4;4;144;5.0;Em Risco
9426;77.0;15.0;900.0;2;4;5;245;6.5;Fiéis
6605;85.0;20.0;682.0;1;5;5;155;6.0;Em Risco
3136;88.0;22.0;663.0;1;5;5;155;6.0;Em Risco
8737;22.0;6.0;43.0;4;1;1;411;5.0;Potencialmente fiéis
716;63.0;27.0;976.0;2;5;5;255;7.0;Fiéis
9135;92.0;6.0;64.0;1;1;2;112;2.5;Hibernando
10623;2.0;5.0;32.0;5;1;1;511;6.0;Potencialmente fiéis
8151;6.0;9.0;263.0;5;3;4;534;8.5;Fiéis
10160;49.0;5.0;46.0;3;1;2;312;4.5;Potencialmente fiéis
6071;77.0;22.0;1157.0;2;5;5;255;7.0;Fiéis
3386;71.0;8.0;137.0;2;2;3;223;4.5;Precisam de atenção
9925;97.0;12.0;216.0;1;3;3;133;4.0;Em Risco
4320;6.0;23.0;943.0;5;5;5;555;10.0;Campeões
5389;93.0;16.0;347.0;1;4;4;144;5.0;Em Risco
182;62.0;17.0;397.0;2;4;4;244;6.0;Fiéis
11025;9.0;11.0;138.0;5;3;3;533;8.0;Fiéis
10203;77.0;5.0;42.0;2;1;1;211;3.0;Quase em risco
4607;24.0;17.0;777.0;4;4;5;445;8.5;Campeões
3696;67.0;7.0;52.0;2;2;2;222;4.0;Precisam de atenção
9214;48.0;13.0;358.0;3;4;4;344;7.0;Fiéis
35;35.0;10.0;210.0;4;3;3;433;7.0;Fiéis
2258;76.0;5.0;42.0;2;1;1;211;3.0;Quase em risco
4322;20.0;20.0;1291.0;4;5;5;455;9.0;Campeões
713;72.0;15.0;442.0;2;4;4;244;6.0;Fiéis
3281;69.0;19.0;411.0;2;5;4;254;6.5;Fiéis
702;80.0;19.0;521.0;1;5;4;154;5.5;Em Risco
2004;65.0;17.0;1168.0;2;4;5;245;6.5;Fiéis
4437;65.0;12.0;260.0;2;3;4;234;5.5;Fiéis
8724;57.0;7.0;46.0;3;2;2;322;5.0;Potencialmente fiéis
10741;70.0;16.0;319.0;2;4;4;244;6.0;Fiéis
1991;0.0;7.0;96.0;5;2;3;523;7.5;Potencialmente fiéis
11096;50.0;12.0;232.0;3;3;4;334;6.5;Fiéis
304;67.0;9.0;76.0;2;3;2;232;4.5;Precisam de atenção
3665;46.0;9.0;54.0;3;3;2;332;5.5;Potencialmente fiéis
10591;37.0;11.0;201.0;4;3;3;433;7.0;Fiéis
5036;38.0;14.0;406.0;4;4;4;444;8.0;Campeões
7822;56.0;20.0;662.0;3;5;5;355;8.0;Fiéis
8541;98.0;8.0;41.0;1;2;1;121;2.5;Hibernando
4368;72.0;8.0;134.0;2;2;3;223;4.5;Precisam de atenção
9671;47.0;10.0;69.0;3;3;2;332;5.5;Potencialmente fiéis
2256;33.0;6.0;21.0;4;1;1;411;5.0;Potencialmente fiéis
4279;87.0;7.0;54.0;1;2;2;122;3.0;Em Risco
5371;0.0;8.0;91.0;5;2;3;523;7.5;Potencialmente fiéis
9240;73.0;18.0;526.0;2;4;4;244;6.0;Fiéis
9460;74.0;8.0;162.0;2;2;3;223;4.5;Precisam de atenção
8692;50.0;16.0;240.0;3;4;4;344;7.0;Fiéis
448;57.0;21.0;795.0;3;5;5;355;8.0;Fiéis
8420;27.0;8.0;64.0;4;2;2;422;6.0;Potencialmente fiéis
7685;4.0;7.0;78.0;5;2;2;522;7.0;Potencialmente fiéis
10232;9.0;15.0;331.0;5;4;4;544;9.0;Campeões
4184;48.0;12.0;265.0;3;3;4;334;6.5;Fiéis
9120;80.0;19.0;1065.0;1;5;5;155;6.0;Em Risco
891;60.0;4.0;11.0;2;1;1;211;3.0;Quase em risco
10381;43.0;4.0;21.0;3;1;1;311;4.0;Potencialmente fiéis
3525;19.0;4.0;17.0;5;1;1;511;6.0;Potencialmente fiéis
6818;26.0;16.0;369.0;4;4;4;444;8.0;Campeões
3526;58.0;6.0;38.0;3;1;1;311;4.0;Potencialmente fiéis
8181;42.0;11.0;177.0;3;3;3;333;6.0;Fiéis
1029;27.0;12.0;279.0;4;3;4;434;7.5;Fiéis
7369;56.0;7.0;62.0;3;2;2;322;5.0;Potencialmente fiéis
8159;10.0;11.0;182.0;5;3;3;533;8.0;Fiéis
1160;48.0;10.0;49.0;3;3;2;332;5.5;Potencialmente fiéis
10242;39.0;8.0;75.0;4;2;2;422;6.0;Potencialmente fiéis
5253;85.0;16.0;227.0;1;4;3;143;4.5;Em Risco
5966;64.0;15.0;215.0;2;4;3;243;5.5;Fiéis
5081;54.0;5.0;47.0;3;1;2;312;4.5;Potencialmente fiéis
5123;57.0;7.0;143.0;3;2;3;323;5.5;Potencialmente fiéis
5756;64.0;7.0;55.0;2;2;2;222;4.0;Precisam de atenção
